state_name,join_date,energy_requirement,energy_availability,deficit_mu,deficit_pct,total_gen_actual_mu,total_gen_program_mu,avg_monitored_cap_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,cap_coal_mw,cap_gas_mw,cap_diesel_mw,cap_lignite_mw,cap_nuclear_mw,cap_hydro_mw,cap_res_mw,total_thermal_mw,total_capacity_mw,avg_total_outage_mw,avg_fresh_outage_mw,total_energy_lost_mwh,total_incidents_count,fresh_incidents_count,avg_coal_stock_days,avg_coal_normative_stock_days,avg_req_normative_coal_stock_tonnes,avg_actual_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,coal_stock_critical_incidents,year,month_num,month_start_date
uttar pradesh,2020-01-01,8830.63,8725.87,104.7599999999984,1.1863253244672058,10221.650000000001,11390.320000000005,292.279294117647,760.68,113.28000000000002,0.0,647.4000000000003,22409.0,1493.14,0.0,0.0,3235.71,440.0,501.6,23902.14,28079.449999999997,7841.301290322582,1857.6238709677418,5833928.16,135.0,116.0,21.427843803056028,24.473684210526315,0.0,291.3205263157895,290.79443123938876,0.5261120543293718,41.1199830220713,,0.0,0.0,7161.579999999998,0.0,2020,1,2020-01-01
maharashtra,2020-05-01,12984.26,12984.26,0.0,0.0,0.0,,,893.0000000000001,223.0,669.9999999999999,0.0,24966.0,3207.08,0.0,0.0,9766.24,1400.0,3047.0,28173.08,42386.32,0.0,,,,,33.75403225806452,22.1875,0.0,436.6614717741935,411.8668346774194,24.793548387096774,40.81550403225808,,0.0,0.0,7093.779999999998,0.0,2020,5,2020-05-01
mizoram,2020-07-01,62.14,61.86,0.28000000000000114,0.4505954296749294,11.43,22.940000000000005,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.99,0.0,60.0,0.0,97.99000000000001,10.64516129032258,10.64516129032258,7920.0,1.0,1.0,,,,,,,,,,,,,2020,7,2020-07-01
nagaland,2020-10-01,76.89,76.55,0.3400000000000034,0.44219014176096166,30.490000000000002,25.11000000000001,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.67,0.0,75.0,0.0,106.67,25.0,25.0,18600.0,1.0,1.0,,,,,,,,,,,,,2020,10,2020-10-01
uttarakhand,2021-02-01,1100.03,1098.86,1.1700000000000728,0.106360735616308,815.8399999999999,798.2799999999999,195.69772727272724,33.779999999999994,14.95,0.0,18.830000000000002,0.0,450.0,0.0,0.0,697.95,0.0,3855.35,450.0,5003.3,528.0589285714285,528.0589285714285,354855.6,22.0,22.0,,,,,,,,,,,,,2021,2,2021-02-01
andaman- nicobar,2021-04-01,28.84,26.92,1.9199999999999982,6.657420249653254,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2021,4,2021-04-01
arunachal pradesh,2022-01-01,85.92,85.92,0.0,0.0,172.72000000000003,154.07,371.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.0,142.34,0.0,1257.34,130.0,130.0,96720.0,3.0,3.0,,,,,,,,,,,,,2022,1,2022-01-01
lakshadweep,2022-05-01,6.13,6.13,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,3.27,0.0,,,,,,,,,,,,,,,,,2022,5,2022-05-01
himachal pradesh,2021-05-01,880.75,879.98,0.7699999999999818,0.08742548963950972,2904.8,4155.549999999999,310.000625,287.03000000000003,3.1199999999999997,0.0,283.91,0.0,0.0,0.0,0.0,988.6,0.0,9920.02,0.0,10908.62,2540.668709677419,2540.668709677419,1890257.5199999996,32.0,32.0,,,,,,,,,,,,,2021,5,2021-05-01
mizoram,2021-06-01,52.32,50.88,1.4399999999999977,2.752293577981647,3.1,6.000000000000001,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,60.0,0.0,98.0,11.0,11.0,7920.0,1.0,1.0,,,,,,,,,,,,,2021,6,2021-06-01
kerala,2022-02-01,2222.35,2222.31,0.03999999999996362,0.001799896505949271,593.99,479.08000000000015,134.2126315789474,25.67,21.189999999999994,4.48,0.0,0.0,533.5799999999999,159.96,0.0,0.0,1856.5,652.8,693.54,3202.84,494.42857142857144,494.42857142857144,332256.0,19.0,19.0,,,,,,,,,,,,,2022,2,2022-02-01
telangana,2022-05-01,5792.68,5791.99,0.6900000000005093,0.011911584965862249,4639.139999999999,4713.780000000002,330.58387096774203,638.5099999999999,613.0,25.51,0.0,7842.5,0.0,0.0,0.0,0.0,2405.6,4992.37,7842.5,15240.470000000001,2883.374193548387,2044.825806451613,2145230.4000000004,56.0,54.0,,22.142857142857142,301.077142857143,91.691198156682,90.7588479262673,0.9323502304147465,68.40617511520733,0.3771428571428571,2753.2099999999996,2877.4700000000007,3015.060000000002,78.0,2022,5,2022-05-01
rajasthan,2022-12-01,9633.82,9475.96,157.86000000000058,1.6386023405046035,5794.62,6094.729999999999,261.87659999999994,3050.310000000001,2634.5,400.5399999999999,15.270000000000003,8900.0,1022.8299999999999,0.0,1580.0,1180.0,411.0,21171.5,11502.83,34265.33,3437.8300000000013,1107.0235483870972,2557745.520000001,101.0,90.0,,23.0,330.4312499999998,71.99657258064518,47.063750000000006,24.93274193548387,51.93931451612906,0.1480241935483871,2762.38,2474.9399999999996,3563.1400000000012,218.0,2022,12,2022-12-01
uts of j&k and ladakh,2023-03-01,1725.61,1717.93,7.679999999999836,0.4450600077653605,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2023,3,2023-03-01
manipur,2020-06-01,72.52,72.14,0.37999999999999545,0.5239933811362321,34.17999999999999,51.900000000000006,70.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,11.8,0.0,105.0,36.0,152.8,36.166666666666664,36.166666666666664,26040.0,2.0,2.0,,,,,,,,,,,,,2020,6,2020-06-01
chandigarh,2021-07-01,201.34,201.34,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.39,0.0,0.0,0.0,50.39,0.0,,,,,,,,,,,,,,,,,2021,7,2021-07-01
rajasthan,2021-09-01,6538.8,6535.25,3.550000000000182,0.05429130727350862,3994.7199999999993,5099.980000000002,248.68260000000006,1353.3899999999999,1081.8999999999999,254.31000000000003,17.18,9820.0,1023.1299999999999,0.0,0.0,12552.45,1180.0,411.0,10843.13,24986.58,5084.968,852.468,3661176.96,113.0,89.0,2.5083333333333333,27.5,0.0,31.90741666666667,31.90741666666667,0.0,48.75291666666668,,0.0,1009.851724137931,1694.5800000000004,25.0,2021,9,2021-09-01
andhra pradesh,2021-09-01,5670.66,5666.9,3.7600000000002183,0.06630621479687053,4727.249999999999,5777.650000000001,329.73345454545444,1471.27,536.54,934.7300000000001,0.0,11590.0,4898.54,36.8,0.0,9175.08,0.0,1610.0,16525.34,27310.42,8450.890000000001,4450.223333333333,6084640.800000001,75.0,61.0,5.8277777777777775,24.166666666666668,0.0,83.80772222222224,77.38288888888887,6.424833333333334,53.632666666666694,,0.0,2311.3448275862074,3217.94,40.0,2021,9,2021-09-01
nagaland,2022-10-01,74.09,74.06,0.030000000000001137,0.04049129437171162,21.57,26.96999999999999,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,34.71,0.0,109.71000000000001,0.8064516129032258,0.8064516129032258,600.0,1.0,1.0,,,,,,,,,,,,,2022,10,2022-10-01
jharkhand,2023-05-01,1304.13,1242.15,61.98000000000002,4.752593683145086,2931.9500000000003,2989.640000000001,243.8095238095238,0.0,0.0,0.0,0.0,4910.0,0.0,0.0,0.0,0.0,210.0,126.25,4910.0,5246.25,558.0645161290323,72.58064516129032,415200.0,33.0,32.0,,24.875,197.51749999999996,185.06572580645164,181.08012096774198,3.985604838709678,77.65889400921655,0.9021370967741936,1819.76,1896.8799999999999,1980.900000000001,0.0,2023,5,2023-05-01
jharkhand,2023-05-01,1208.05,1139.07,68.98000000000002,5.710028558420597,2931.9500000000003,2989.640000000001,243.8095238095238,0.0,0.0,0.0,0.0,4910.0,0.0,0.0,0.0,0.0,210.0,126.25,4910.0,5246.25,558.0645161290323,72.58064516129032,415200.0,33.0,32.0,,24.875,197.51749999999996,185.06572580645164,181.08012096774198,3.985604838709678,77.65889400921655,0.9021370967741936,1819.76,1896.8799999999999,1980.900000000001,0.0,2023,5,2023-05-01
chandigarh,2020-03-01,90.0,90.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,0.0,0.0,0.0,40.55,0.0,,,,,,,,,,,,,,,,,2020,3,2020-03-01
uttar pradesh,2020-05-01,10350.51,10241.83,108.68000000000029,1.0499965702173157,0.0,,,448.37000000000006,145.6,0.0,302.77000000000004,22409.0,1493.14,0.0,0.0,3235.71,440.0,501.6,23902.14,28079.449999999997,0.0,,,,,33.60950764006791,24.473684210526315,0.0,357.4025297113752,356.68390492359936,0.7194736842105265,30.60490662139218,,0.0,0.0,7105.88,0.0,2020,5,2020-05-01
mizoram,2020-09-01,46.53,46.12,0.4100000000000037,0.8811519449817401,15.43,26.099999999999994,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,60.0,0.0,98.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,2020,9,2020-09-01
