state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
telangana,2022,79427.36,79447.78,-20.419999999999163,56485.54000000001,334.2783432578239,6757.739999999999,6409.87,286.93999999999994,60.93,,21.13015873015873,275.7181692176871,5.285768305171531,160.1560633427206,61.19599157888961,0.6305893040011704,31482.259999999995,32369.22,34782.39,165.04455394630972,186.0,2225.4338466461854,1199.4296383768562,19508904.000000004,596.0,15253.504166666668,7842.5,0.0,2405.5999999999995,5005.404166666667,22850.5,67.23,,211.45999999999998,19423.888600000002,236924.82999999987
nagaland,2023,428.63000000000005,412.34000000000003,16.29,169.29000000000002,75.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,15.084165386584742,15.084165386584742,132000.0,12.0,110.56500000000001,0.0,0.0,75.0,35.565,479.0,,,241.26999999999998,24663.886199999997,397159.38
lakshadweep,2021,55.66000000000001,55.66000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,2.01,0.0,1.7374999999999998,0.0,0.2725,,,,217.75,10392.014583333335,120533.86
goa,2020,4062.7900000000004,4062.78,0.009999999999990905,0.0,48.0,33.57,7.76,25.81,0.0,,,,,,,,,,,,,48.0,48.0,336384.0,10.0,53.11333333333334,48.0,5.113333333333334,0.0,0.0,,,,251.43999999999994,11834.991206896555,158865.22999999992
uts of j&k and ladakh,2023,11992.240000000002,11895.49,96.74999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.26999999999998,24663.886199999997,397159.38
odisha,2020,28621.14,28621.14,0.0,47327.74999999998,322.76351351351343,358.88999999999993,0.0,0.0,358.88999999999993,20.588334430293166,16.50971088655698,0.0,2.506328084752804,367.59170762869803,65.512601057437,,0.0,0.0,38098.71999999999,370.0978586648783,1.0,2883.7707097392167,495.8514537758003,20392584.0,459.0,12474.715833333335,9800.0,532.4658333333333,0.0,2142.25,84652.06,143.02,58.91,251.43999999999994,11834.991206896555,158865.22999999992
manipur,2020,964.5600000000001,959.01,5.550000000000033,539.38,70.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7.727771598071932,7.727771598071932,55440.0,20.0,152.3808333333333,36.0,11.380833333333333,0.0,105.0,,,,251.43999999999994,11834.991206896555,158865.22999999992
chhattisgarh,2022,40247.14000000001,40240.74,6.400000000000546,,,356.8,356.8,0.0,0.0,,22.48508422821388,330.1250197670673,3.868354917775228,140.05958349193878,55.945729681248615,0.44301602800538226,112850.18385099982,114435.83472441242,127739.8500000001,146.2136184273069,3710.0,,,,,24809.515000000003,23688.0,0.0,120.0,1001.5149999999999,73423.54,154.12,,211.45999999999998,19423.888600000002,236924.82999999987
gujarat,2022,148169.25,146349.27000000002,1819.9799999999977,65378.22999999999,389.1553731343279,27676.090000000007,9149.69,18511.21,15.200000000000005,,23.594444444444445,400.39333333333315,128.2506342995582,35.740712190172765,42.44893356374808,0.3380382957842636,27113.65,27555.920000000002,55500.85999999995,166.87658613529044,1723.0,14846.399533026117,7290.4325591397865,130031169.84000003,1303.0,43432.6,23643.41,440.0,1990.0,17359.190000000002,2722.05,13.33,,211.45999999999998,19423.888600000002,236924.82999999987
haryana,2022,69401.69,68982.61000000002,419.0800000000004,31457.81,443.1992307692305,658.69,269.55,0.0,389.14,,23.594444444444445,345.6133055555556,25.402444623655906,150.1799545058884,68.13389810547875,0.470975,20854.980000000003,20701.170000000002,26491.78,177.31798794162827,469.0,1465.1081423451103,529.3874562211982,12771559.440000001,265.0,7010.2575,5761.589999999999,0.0,0.0,1248.6675000000002,,,,211.45999999999998,19423.888600000002,236924.82999999987
tamil nadu,2020,101975.97999999998,101971.57999999999,4.399999999997817,57633.48000000004,213.85696249265737,16604.15,4885.85,11718.300000000001,0.0,25.39117743995386,30.0,0.0,29.897208781362014,267.25816303093967,44.10251256025214,,0.0,0.0,26211.379999999986,297.15525663288435,11.0,7364.080807687555,1353.4621944135456,52638734.15999999,1176.0,33252.848333333335,14115.546666666669,14519.101666666667,2440.0,2178.2000000000003,36489.6,24.86,41.099999999999994,251.43999999999994,11834.991206896555,158865.22999999992
chandigarh,2023,926.5500000000002,926.5500000000002,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,62.14083333333334,0.0,0.0,0.0,62.14083333333334,,,,241.26999999999998,24663.886199999997,397159.38
kerala,2022,29907.969999999994,29747.229999999992,160.74000000000024,8670.489999999998,129.22103337594416,455.05,329.61,125.44000000000003,0.0,,,,,,,,,,,,,671.1252304147464,671.1252304147464,5888042.639999999,238.0,3404.6874999999995,693.54,0.0,1860.9625000000003,850.185,9.65,,,211.45999999999998,19423.888600000002,236924.82999999987
andhra pradesh,2021,67521.57,67472.70999999999,48.86000000000058,59439.41,329.7334545454548,13343.410000000002,6758.300000000001,6585.110000000001,0.0,8.85371320734224,23.937031606386444,106.25189296814288,16.242685556602897,142.64657615420728,49.3670874053515,0.22757892692103218,5207.612938596494,11202.62482758621,40668.80999999996,158.88927563170105,250.0,8273.919493663594,4530.698743535587,72507298.56000002,755.0,27177.281666666666,16525.34,8276.065833333334,134.16666666666666,2241.709166666667,2247.22,0.0,22.580000000000002,217.75,10392.014583333335,120533.86
bihar,2020,32847.91,32727.909999999996,120.00000000000091,26304.099999999995,247.6650682467464,155.14000000000001,0.0,0.0,155.14000000000001,25.621048678369533,19.114826610049537,0.0,0.0,299.03116355982286,59.02802235951404,,0.0,0.0,25996.55999999999,299.0312173232637,0.0,1776.4592880978864,97.62446545544432,12732600.0,307.0,6736.638333333333,6390.0,346.6383333333333,0.0,0.0,2751.41,,21.72,251.43999999999994,11834.991206896555,158865.22999999992
